shop,platform,categorie,sous_categorie,marque,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating,url_produit,stock_bin,promo_bin,log_prix,segment_prix,score_popularite,top_k,shop_id,categorie_id,platform_id,cluster,cluster_nom
Kiabi,Shopify,Femme,Femme,,Robe Midi Côtelée + Pull Cropped De Maternité,385.0,0.0,,En stock,Non,4.2,,1,0,5.955837369464831,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt Imprimé 'Disney' 'Stitch' En Coton,140.0,0.0,,En stock,Non,4.2,,1,0,4.948759890378168,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt À Manches Longues Sous-Vêtement,165.0,0.0,,En stock,Non,4.2,,1,0,5.111987788356544,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pull En Maille Fine Avec Col V,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Tee-Shirt D'Allaitement Côtelé,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Legging De Maternité Imprimé,180.0,0.0,,En stock,Non,4.2,,1,0,5.198497031265826,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sandales En Bride Croisée,240.0,0.0,,En stock,Non,4.2,,1,0,5.484796933490655,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Carotte Fluide Avec Ceinture À Boucle,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Large Imprimé Vache,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Produit REF FRV03,220.0,0.0,,En stock,Non,4.2,,1,0,5.3981627015177525,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Wide Leg Taille Haute,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Lot De 2 Élastiques Avec Bijoux,75.0,0.0,,En stock,Non,4.2,,1,0,4.330733340286331,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Mules En Suédine Avec Brides Ajustables À L'Arrière,315.0,0.0,,En stock,Non,4.2,,1,0,5.755742213586912,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Flare En Maille Doudou,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Mocassins Type Suédine Avec Bijou Décoratif Sur Le Dessus,240.0,0.0,,En stock,Non,4.2,,1,0,5.484796933490655,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pyjama Long Maille Pointelle - 2 Pièces,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Coupe Flare/Bootcut À Taille Haute,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Blouse À Col V Avec Motif Allover,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Veste De Costume En Denim,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Gilet Col Rond Motif Léopard,165.0,0.0,,En stock,Non,4.2,,1,0,5.111987788356544,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt À Rayure Tricolore En Coton,110.0,0.0,,En stock,Non,4.2,,1,0,4.709530201312334,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pull En Maille Grosse Jauge À Manches Courtes,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Triangle De Bain En Néoprène,195.0,0.0,,En stock,Non,4.2,,1,0,5.278114659230517,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Ballerines Unies En Suédine,190.0,0.0,,En stock,Non,4.2,,1,0,5.25227342804663,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt À Manches Longue Et Col Rond,95.0,0.0,,En stock,Non,4.2,,1,0,4.564348191467836,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sweat Basique En Molleton,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Denim Stretch Super Skinny En Coton,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Maillot De Bain 1 Pièce En Néoprène,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Culotte De Bain Taille Haute Néoprène,140.0,0.0,,En stock,Non,4.2,,1,0,4.948759890378168,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Évasé Uni,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Maillot De Bain 1 Pièce Côtelé,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Gilet Col Rond Uni,140.0,0.0,,En stock,Non,4.2,,1,0,4.948759890378168,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Blouse Manches Longues À Carreaux,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Lot De 3 Chaussettes Protège Pied Unis,85.0,0.0,,En stock,Non,4.2,,1,0,4.454347296253507,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Straight Denim En Coton,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Mom Taille Haute - L30,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Legging Flare En Rib,145.0,0.0,,En stock,Non,4.2,,1,0,4.983606621708336,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt Côtelé À Manches Longues,110.0,0.0,,En stock,Non,4.2,,1,0,4.709530201312334,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon De Maternité Coupe Droite,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Parapluie Transparent 'Stitch',130.0,0.0,,En stock,Non,4.2,,1,0,4.875197323201151,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Blouse Avec Volants Au Col Et À L'Ouverture,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Denim Barrel En Coton,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Coupe Mom - L30,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Chemise En Popeline À Manches Longues,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Legging Côtelé De Maternité,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Tee-Shirt Crop Top Basique,70.0,0.0,,En stock,Non,4.2,,1,0,4.262679877041316,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Veste En Suédine Unie,485.0,0.0,,En stock,Non,4.2,,1,0,6.186208623900494,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt - Débardeur Effet 2 En 1,175.0,0.0,,En stock,Non,4.2,,1,0,5.170483995038151,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Tee-Shirt Cropped À Manches Longues Et Matière Crêpée,120.0,0.0,,En stock,Non,4.2,,1,0,4.795790545596741,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pull Esprit Polo Avec Encolure V,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Lot De 3 Tangas Maille Côtelée,110.0,0.0,,En stock,Non,4.2,,1,0,4.709530201312334,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Lot De 3 Shorties Fines Côtes,110.0,0.0,,En stock,Non,4.2,,1,0,4.709530201312334,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Blouson En Simili Avec Col Cranté,550.0,0.0,,En stock,Non,4.2,,1,0,6.311734809152915,premium,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon À Pinces Avec Ceinture Intégrée,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pull 2-En-1 Avec Chemise,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Gilet Maille Moulinée À Boutons Rétro,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Top Sans Manches Boutonné En Maille Doudou,180.0,0.0,,En stock,Non,4.2,,1,0,5.198497031265826,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Chemise En Popeline Manches Larges,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Gilet Sans Manches Uni,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Gilet En Maille Avec Boutons Dorés,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Robe Longue Crêpée Avec Bijou,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Large Avec Double Ouverture Boutonnée,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pull Col V Uni,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Gilet Maille Grosse Jauge,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Wide Leg - L30,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt Basique À Manches Courtes Et Col V,85.0,0.0,,En stock,Non,4.2,,1,0,4.454347296253507,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Gilet Manches Courtes À Boutons Fantaisies,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Casquette Léopard En Tissu,90.0,0.0,,En stock,Non,4.2,,1,0,4.51085950651685,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Large À Pois,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jupe Longue En Jean,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Produit REF FKW03,110.0,0.0,,En stock,Non,4.2,,1,0,4.709530201312334,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Produit REF EZA96,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Casquette Baseball En Coton,90.0,0.0,,En stock,Non,4.2,,1,0,4.51085950651685,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Robe Longue Coupe Portefeuille,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Large À Rayures,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Denim Cropped Avec Boutons,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Large À Pinces,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Legging De Sport Taille Twistée,165.0,0.0,,En stock,Non,4.2,,1,0,5.111987788356544,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Robe Longue Effet Peau De Pêche,220.0,0.0,,En stock,Non,4.2,,1,0,5.3981627015177525,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Salopette En Denim Avec Poche Devant,410.0,0.0,,En stock,Non,4.2,,1,0,6.018593214496234,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Ballon Fit,295.0,0.0,,En stock,Non,4.2,,1,0,5.69035945432406,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Veste De Tailleur Sans Manches Avec Ceinture,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Taille Basse,270.0,0.0,,En stock,Non,4.2,,1,0,5.602118820879701,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sandales De Cérémonie Dorées À Talon,315.0,0.0,,En stock,Non,4.2,,1,0,5.755742213586912,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt Stretch Avec Bijou Doré,165.0,0.0,,En stock,Non,4.2,,1,0,5.111987788356544,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sandales À Brides Dorées,190.0,0.0,,En stock,Non,4.2,,1,0,5.25227342804663,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Banane De Sport Avec Poches Extérieures Et Intérieures 15x40 Cm,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Short Cycliste De Sport,150.0,0.0,,En stock,Non,4.2,,1,0,5.017279836814924,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Produit REF EZA85,125.0,0.0,,En stock,Non,4.2,,1,0,4.836281906951478,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt Stretch Uni Asymétrique,140.0,0.0,,En stock,Non,4.2,,1,0,4.948759890378168,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Veste De Sport Sans Manches,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt En Maille À Base Asymétrique,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sweat De Sport,220.0,0.0,,En stock,Non,4.2,,1,0,5.3981627015177525,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Robe Fluide Imprimée Fantaisie,400.0,0.0,,En stock,Non,4.2,,1,0,5.993961427306569,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Tee-Shirt Cropped Décolleté Carré Au Dos,120.0,0.0,,En stock,Non,4.2,,1,0,4.795790545596741,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Legging De Sport 7/8,180.0,0.0,,En stock,Non,4.2,,1,0,5.198497031265826,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon En Maille Crinkle,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Wide Leg À Rayures,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Chemise Large À Boutons Coquillages,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jupe Courte Plissée,220.0,0.0,,En stock,Non,4.2,,1,0,5.3981627015177525,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Haut Col V En Maille Gaufrée Avec Boutons Dorés,175.0,0.0,,En stock,Non,4.2,,1,0,5.170483995038151,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Banane Imprimé Fantaisie,175.0,0.0,,En stock,Non,4.2,,1,0,5.170483995038151,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt Manches Longues En Maille Gaufrée,145.0,0.0,,En stock,Non,4.2,,1,0,4.983606621708336,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Chemisier Vichy Et Motif Cœurs,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Chemise Large À Boutons Étoiles,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Wide Leg Coloré,250.0,0.0,,En stock,Non,4.2,,1,0,5.525452939131784,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sac Cabas Matelassé Motif Indienne,220.0,0.0,,En stock,Non,4.2,,1,0,5.3981627015177525,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Débardeur Uni En Matière Côtelée,165.0,0.0,,En stock,Non,4.2,,1,0,5.111987788356544,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon À Carreaux Large Fit,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Blouson Matelassé Avec Plastron Amovible,485.0,0.0,,En stock,Non,4.2,,1,0,6.186208623900494,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Blazer Manches Longues À Carreaux,415.0,0.0,,En stock,Non,4.2,,1,0,6.030685260261263,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt À Manches Longues,95.0,0.0,,En stock,Non,4.2,,1,0,4.564348191467836,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Blouse En Denim Avec Col Volanté,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Lot De 2 Paires De Socquettes Yoga En Coton,85.0,0.0,,En stock,Non,4.2,,1,0,4.454347296253507,low-cost,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sweat Zippé À Capuche Basique,180.0,0.0,,En stock,Non,4.2,,1,0,5.198497031265826,mid-range,2.72,1,2,8,0,1,Mid-range
